week,start_date,end_date
1,2023-10-24,2023-10-29
2,2023-10-30,2023-11-05
3,2023-11-06,2023-11-12
4,2023-11-13,2023-11-19
5,2023-11-20,2023-11-26
6,2023-11-27,2023-12-03
7,2023-12-04,2023-12-10
8,2023-12-11,2023-12-17
9,2023-12-18,2023-12-24
10,2023-12-25,2023-12-31
11,2024-01-01,2024-01-07
12,2024-01-08,2024-01-14
13,2024-01-15,2024-01-21
14,2024-01-22,2024-01-28
15,2024-01-29,2024-02-04
16,2024-02-05,2024-02-11
17,2024-02-12,2024-02-18
18,2024-02-19,2024-02-25
19,2024-02-26,2024-03-03
20,2024-03-04,2024-03-10
21,2024-03-11,2024-03-17
22,2024-03-18,2024-03-24
23,2024-03-25,2024-03-31
24,2024-04-01,2024-04-07
25,2024-04-08,2024-04-14